,type,model,fold,auroc,auprc,minrp,precision,recall,balanced_acc,mcc,f1,f2
15,MIMIC IV Neutropenic Fever,tcn,0,0.7801102223582992,0.1607238698725179,0.2222222222222222,0.119047619047619,0.660377358490566,0.6988499368517739,0.1942585057365607,0.2017291066282421,0.3458498023715415
16,Physionet Multiperturbed,tcn,0,0.7518907613941095,0.3454841730222881,0.3910614525139664,0.3941368078175896,0.3548387096774194,0.6322078818197501,0.2763983677768095,0.3734567901234568,0.3620586475164572
17,Physionet Original,tcn,0,0.8590165617154499,0.5495516061777336,0.5395894428152492,0.3386308068459657,0.8123167155425219,0.7746561701193406,0.4046769755563349,0.4779982743744607,0.6347387717690193
18,MIMIC IV Neutropenic Fever,tcn,1,0.7744044035434764,0.1020797344561475,0.1702127659574468,0.1091954022988505,0.4318181818181818,0.6425883718930077,0.1531311156119958,0.1743119266055046,0.2714285714285714
19,Physionet Multiperturbed,tcn,1,0.7277131782945736,0.1490803760114347,0.2115384615384615,0.0909090909090909,0.3333333333333333,0.5939922480620154,0.1044308341307461,0.1428571428571428,0.217391304347826
20,Physionet Original,tcn,1,0.8676829476414771,0.5495148291320913,0.5549295774647888,0.3570520965692503,0.8216374269005848,0.7877642387421212,0.4286040686979764,0.4977856510186005,0.6519721577726219
21,MIMIC IV Neutropenic Fever,tcn,2,0.8269027683487968,0.3152817717621237,0.3333333333333333,0.1643192488262911,0.6481481481481481,0.733442709511956,0.2567871075783217,0.2621722846441947,0.4079254079254079
22,Physionet Multiperturbed,tcn,2,0.7002710027100271,0.0573167499671548,0.1111111111111111,0.0490797546012269,0.4444444444444444,0.627710027100271,0.0935518721214263,0.0883977900552486,0.1702127659574468
23,Physionet Original,tcn,2,0.8473231961226022,0.5063378460120846,0.5058479532163743,0.3829787234042553,0.7368421052631579,0.7696856440712676,0.4226928109984989,0.504,0.6219151036525172
24,MIMIC IV Neutropenic Fever,tcn,3,0.7352735413460192,0.1711595024473722,0.2678571428571428,0.1494845360824742,0.5178571428571429,0.6781254372463972,0.2058171721565205,0.232,0.34688995215311
