dataset,target,model,perturbation,file,pct,seed,fold,start_time,end_time,test_accuracy@0.5,test_auprc,test_auroc,test_balanced_accuracy@0.5,test_f1@0.5,test_f2@0.5,test_minrp,test_precision@0.5,test_recall@0.5
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_1_unbalanced_1,1,2023,1,2026-03-28 13:11:59,2026-03-28 14:06:02,0.9837337337337336,0.0286141455347295,0.6972154276656948,0.5,0.0,0.0,0.0377094972067039,0.0,0.0
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_1_unbalanced_2,2,2023,1,2026-03-28 13:12:30,2026-03-28 13:49:44,0.9742242242242244,0.0594272111139152,0.7264121063696602,0.5,0.0,0.0,0.0680272108843537,0.0,0.0
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_1_unbalanced_7,7,2023,1,2026-03-28 13:18:50,2026-03-28 14:21:55,0.9066566566566566,0.2215157120340924,0.7642440012201531,0.5801359441669698,0.2372188139059304,0.211524434719183,0.265625,0.2974358974358974,0.1972789115646258
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_1_unbalanced_5,5,2023,1,2026-03-28 13:13:38,2026-03-28 14:17:20,0.9429429429429428,0.1443315166044244,0.744519161450799,0.5034446210916799,0.0172413793103448,0.0111358574610244,0.1981981981981982,0.2,0.009009009009009
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_1_unbalanced_3,3,2023,1,2026-03-28 13:12:42,2026-03-28 14:07:15,0.9682182182182182,0.0768715171233301,0.723489558635876,0.5,0.0,0.0,0.1128205128205128,0.0,0.0
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_1_unbalanced_30,30,2023,1,2026-03-28 13:32:10,2026-03-28 14:34:55,0.6894394394394394,0.5435396491362786,0.7453055885794359,0.6803009000360296,0.5662355819643481,0.6170958403169282,0.5353130016051364,0.4978488014751075,0.6564019448946515
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_1_unbalanced_4,4,2023,1,2026-03-28 13:13:09,2026-03-28 14:06:59,0.9572072072072072,0.1039551767511969,0.7412241320992589,0.4998693152117093,0.0,0.0,0.1558441558441558,0.0,0.0
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_1_unbalanced_50,50,2023,1,2026-03-28 13:38:11,2026-03-28 14:32:47,0.6744244244244244,0.67351379434873,0.7264269088302909,0.6737778013935607,0.654448871181939,0.6606606606606606,0.6498388829215896,0.6443514644351465,0.6648677819751754
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_0_unbalanced_3,3,2023,0,2026-03-28 12:33:52,2026-03-28 13:21:25,0.9717217217217218,0.0805204591555653,0.7884948915057467,0.5,0.0,0.0,0.1258278145695364,0.0,0.0
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_0_unbalanced_30,30,2023,0,2026-03-28 13:06:11,2026-03-28 14:01:25,0.6896896896896897,0.5009752332732365,0.7456507202235816,0.6837687507675569,0.5431098010316876,0.6130427549492596,0.5045372050816697,0.4563467492260062,0.6706096451319381
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_0_unbalanced_5,5,2023,0,2026-03-28 12:34:08,2026-03-28 13:18:27,0.9517017017017017,0.1260575306924303,0.757835859402412,0.5022235829130862,0.0102564102564102,0.0065104166666666,0.1773399014778325,0.25,0.0052356020942408
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_0_unbalanced_4,4,2023,0,2026-03-28 12:33:48,2026-03-28 13:14:45,0.9622122122122122,0.0966356596093311,0.7656110244409777,0.499869994799792,0.0,0.0,0.134020618556701,0.0,0.0
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_0_unbalanced_8,8,2023,0,2026-03-28 12:40:47,2026-03-28 13:12:22,0.8673673673673674,0.1840143107183485,0.74701434823516,0.5916473028454126,0.2341040462427745,0.2524937655860349,0.2203947368421052,0.2087628865979381,0.2664473684210526
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_0_unbalanced_10,10,2023,0,2026-03-28 12:45:18,2026-03-28 13:04:48,0.8105605605605606,0.215069168848462,0.734932538231193,0.6144749925709192,0.2755980861244019,0.3259393390674513,0.2551546391752577,0.2191780821917808,0.3711340206185567
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_0_unbalanced_6,6,2023,0,2026-03-28 12:34:38,2026-03-28 13:05:49,0.9391891891891893,0.1384910762881365,0.7564917676443458,0.511877949086214,0.0544747081712062,0.0382932166301969,0.1982758620689655,0.1842105263157894,0.0319634703196347
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_0_unbalanced_2,2,2023,0,2026-03-28 12:33:24,2026-03-28 13:31:47,0.9824824824824824,0.0425667053082981,0.7480132450331125,0.5,0.0,0.0,0.0608695652173913,0.0,0.0
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_0_unbalanced_50,50,2023,0,2026-03-28 13:10:04,2026-03-28 14:16:04,0.6684184184184184,0.6831222154836486,0.7290731482310002,0.6680401678196178,0.6482612158216087,0.6571582346609257,0.6447582835415535,0.6339563862928349,0.6632265073329712
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_0_unbalanced_9,9,2023,0,2026-03-28 12:43:02,2026-03-28 13:07:58,0.8588588588588588,0.1928535649344367,0.7484493610528323,0.6005671053468116,0.25,0.2740524781341107,0.2347560975609756,0.2180974477958236,0.292834890965732
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_0_unbalanced_40,40,2023,0,2026-03-28 13:08:23,2026-03-28 14:00:38,0.6721721721721722,0.6061004308751864,0.7358879679144386,0.6727668449197861,0.6066066066066066,0.6459452545408033,0.5848303393213573,0.5507088331515813,0.6751336898395722
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_0_unbalanced_20,20,2023,0,2026-03-28 13:05:15,2026-03-28 13:56:13,0.7157157157157157,0.3826048179523015,0.7473933982847203,0.6792893554127832,0.4569789674952199,0.5425652667423383,0.4145077720207253,0.3618470855412566,0.6199740596627756
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_0_unbalanced_7,7,2023,0,2026-03-28 12:40:37,2026-03-28 13:20:45,0.9076576576576576,0.1612269574076714,0.7510016293449197,0.563128760026738,0.189010989010989,0.1757972199509403,0.1992337164750957,0.2160804020100502,0.16796875
